,Calculated variables,Type(Stoichiometric),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
"KVFA,AMETO",Half-saturation of VFA for AMETOs,"KVFA,AMETO,AS",400,g COD.m-3,1,Non-Biofilm,
"KVFA,AMETO",Half-saturation of VFA for AMETOs,"KVFA,AMETO,AS*fKS",40,g COD.m-3,1,Biofilm,"fKS=1 in bulk and fKS,biofilm in biofilm"
"KiO2,AMETO",Half-inhibition of O2 for AMETOs,"KiO2,AMETO,AS",0.05,g O2.m-3,2,Non-Biofilm,
"KiO2,AMETO",Half-inhibition of O2 for AMETOs,"KiO2,AMETO,AS*fKS",0.005,g O2.m-3,3,Biofilm,"fKS=1 in bulk and fKS,biofilm in biofilm"
"KNOx,AMETO",Half-saturation of NOx for AMETOs,"KNOx,AMETO,AS",0.05,g N.m-3,2,Non-Biofilm,
"KNOx,AMETO",Half-saturation of NOx for AMETOs,"KNOx,AMETO,AS*fKS",0.005,g N.m-3,3,Biofilm,"fKS=1 in bulk and fKS,biofilm in biofilm"
,,,,,,,
,Half-saturations for hydrogenotrophic methanogens (HMETO),Type(Kinetic),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
"KH2,HMETO",Half-saturation of H2 for HMETOs,"KH2,HMETO,AS",0.1,g COD.m-3,2,Non-Biofilm,
"KH2,HMETO",Half-saturation of H2 for HMETOs,"KH2,HMETO,AS*fKS",0.01,g COD.m-3,3,Biofilm,"fKS=1 in bulk and fKS,biofilm in biofilm"
"KiO2,HMETO",Half-inhibition of O2 for HMETOs,"KiO2,HMETO,AS",0.05,g O2.m-3,2,Non-Biofilm,
"KiO2,HMETO",Half-inhibition of O2 for HMETOs,"KiO2,HMETO,AS*fKS",0.005,g O2.m-3,3,Biofilm,"fKS=1 in bulk and fKS,biofilm in biofilm"
"KNOx,HMETO",Half-saturation of NOx for HMETOs,"KNOx,HMETO,AS",0.05,g N.m-3,2,Non-Biofilm,
"KNOx,HMETO",Half-saturation of NOx for HMETOs,"KNOx,HMETO,AS*fKS",0.005,g N.m-3,3,Biofilm,"fKS=1 in bulk and fKS,biofilm in biofilm"
,,,,,,,
,Half-saturations for conversions,Type(Kinetic),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
"KNHx,BIO",Half-saturation of NHx as nutrient for biomasses,"KNHx,BIO,AS",0.005,g N.m-3,3,Non-Biofilm,
"KNHx,BIO",Half-saturation of NHx as nutrient for biomasses,"KNHx,BIO,AS*fKS",0.0005,g N.m-3,4,Biofilm,"fKS=1 in bulk and fKS,biofilm in biofilm"
"KPO4,BIO",Half-saturation of PO4 as nutrient for biomasses,"KPO4,BIO,AS",0.002,g P.m-3,3,Non-Biofilm,
"KPO4,BIO",Half-saturation of PO4 as nutrient for biomasses,"KPO4,BIO,AS*fKS",0.0002,g P.m-3,4,Biofilm,"fKS=1 in bulk and fKS,biofilm in biofilm"
KALK,Half-saturation of alkalinity,"KALK,AS",0.001,eq ALK.L-1,4,Non-Biofilm,
KALK,Half-saturation of alkalinity,"KALK,AS*fKS",0.0001,eq ALK.L-1,4,Biofilm,"fKS=1 in bulk and fKS,biofilm in biofilm"
KHYD,Half-saturation of particulates in hydrolysis,"KHYD,AS",0.05,g COD.g COD-1,2,Non-Biofilm,
KHYD,Half-saturation of particulates in hydrolysis,"KHYD,AS*fKS",0.005,g COD.g COD-1,3,Biofilm,"fKS=1 in bulk and fKS,biofilm in biofilm"
"KiNHx,ASSIM",Half-inhibition of NHx in NOx assimilative reduction,"KiNHx,ASSIM,AS",0.0005,g N.m-3,4,Non-Biofilm,
"KiNHx,ASSIM",Half-inhibition of NHx in NOx assimilative reduction,"KiNHx,ASSIM,AS*fKS",0.00005,g N.m-3,5,Biofilm,"fKS=1 in bulk and fKS,biofilm in biofilm"
"KNOx,ASSIM",Half-saturation of NOx in NOx assimilative reduction,"KNOx,ASSIM,AS",0.001,g N.m-3,3,Non-Biofilm,
"KNOx,ASSIM",Half-saturation of NOx in NOx assimilative reduction,"KNOx,ASSIM,AS*fKS",0.0001,g N.m-3,4,Biofilm,"fKS=1 in bulk and fKS,biofilm in biofilm"
,,,,,,,
,Saturation/inhibition terms,Type(Kinetic),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
"MsatSB,KSB",Saturation term for readily biodegradable substrate (OHO),Msat(SB;KSB),0.5,-,2,,
"MsatSO2,KO2,OHO",Saturation term for O2 (OHO),"Msat(SO2;KO2,OHO)",0.930232558,-,2,,
"MsatSNHx,KNHx,BIO",Saturation term for NHx (biomass),"Msat(SNHx;KNHx,BIO)",0.998336106,-,2,,
"MsatSPO4,KPO4,BIO",Saturation term for PO4 (biomass),"Msat(SPO4;KPO4,BIO)",0.998003992,-,2,,
"MsatSNOx,KNOx,OHO",Saturation term for NOx (OHO),"Msat(SNOx;KNOx,OHO)",0.998003992,-,2,,
"MsatSALK,KALK",Saturation term for alkalinity,Msat(SALK;KALK),0.75,-,2,,
"MsatSO2,KO2,NITO",Saturation term for O2 (NITO),"Msat(SO2;KO2,NITO)",0.8,-,2,,
"MsatSNHx,KNHx,NITO",Saturation term for NHx (NITO),"Msat(SNHx;KNHx,NITO)",0.810810811,-,2,,
"MsatSNOx,KNOx,NITO",Saturation term for NOx (NITO),"Msat(SNOx;KNOx,NITO)",0.998003992,-,2,,
"MsatSB,KVFA,AMETO",Saturation term for readily biodegradable substrate as VFA (AMETO),"Msat(SB;KVFA,AMETO)",0.012345679,-,2,,
"MsatSO2,KiO2,AMETO",Saturation term for O2 (AMETO),"Msat(SO2;KiO2,AMETO)",0.975609756,-,2,,
"MsatSNOx,KNOx,AMETO",Saturation term for NOx (AMETO),"Msat(SNOx;KNOx,AMETO)",0.996677741,-,2,,
"MsatSH2,KH2,HMETO",Saturation term for H2 (HMETO),"Msat(SH2;KH2,HMETO)",0.909090909,-,2,,
