,Ordinary heterotrophic organism kinetics (OHO),Type(Kinetic),,,,,,
"ivw,XB",Vicinal water of biodegradable substrate in volatile solids,0.05,0,5,g H2O.g VS-1,2,,Assuming 5% of H2O is associated with vicinal water for these organics
"ivw,XU",Vicinal water of particulate unbiodegradable organics in volatile solids,0.05,0,5,g H2O.g VS-1,2,,
"ivw,BIO",Vicinal water of biomass in volatile solids,0.05,0,5,g H2O.g VS-1,2,,
"ivw,XE",Vicinal water of endogenous products in volatile solids,0.05,0,5,g H2O.g VS-1,2,,
"ivw,EPS",Vicinal water correction of EPS in volatile solids,0.05,0,5,g H2O.g VS-1,2,,
,,,,,,,,
,Water of Hydration content,Type(Stoichiometric),,,,,,
Symbol,Name,Default,Low limit,High limit,Unit,Decimals,Rule,Principle/comment
"iwh,XB",Water of hydration of biodegradable substrate in volatile solids,0.11,0,5,g H2O.g VS-1,2,,Assuming 10% of H2O is associated with water of hydration
"iwh,XU",Water of hydration of particulate unbiodegradable organics in volatile solids,0.11,0,5,g H2O.g VS-1,2,,
"iwh,BIO",Water of hydration of biomass in volatile solids,0.11,0,5,g H2O.g VS-1,2,,
"iwh,XE",Water of hydration of endogenous products in volatile solids,0.11,0,5,g H2O.g VS-1,2,,
"iwh,EPS",Water of hydration correction of EPS in volatile solids,0.33,0,5,g H2O.g VS-1,2,,Assuming 25% of H2O is associated with water of hydration
,,,,,,,,
,Heat of reaction,Type(Stoichiometric),,,,,,
Symbol,Name,Default,Low limit,High limit,Unit,Decimals,Rule,Principle/comment
DeltaHbio,Heat of biological reaction,0.0080,0,1,MJ.g COD-1,3,,
